id,year,session,no,category,subcategory,question,choice1,choice2,choice3,choice4,answer,explanation_shoken,explanation_kenryu,imageUrl
R6-AM-1,R6,午前,1,建築学,環境工学,中央管理方式の空気調和設備を設けた建築物における居室の室内環境に関する一般的な記述として、最も不適当なものはどれか。,室内空気中の一酸化炭素の濃度は、6 ppm 以下とする。,"室内空気中の二酸化炭素の濃度は、1,000 ppm 以下とする。",室内空気の気流の速さは、1.5 m/s 以下とする。,室内空気の相対湿度は、40 % 以上 70 % 以下とする。,3,【ショーケン版】気流が「1.5m/s」もあったら、部屋の中で書類が全部飛んでいっちまうだろ！そよ風どころか扇風機の「強」レベルだ。室内環境の基準（ビル管法）じゃ、気流は「0.5m/s 以下」に抑えるのが鉄則なんだよ。あと一酸化炭素が「6ppm」に厳しくなった改正点も、今の試験じゃ常識だからな！,【建龍版】建築物衛生法（ビル管理法）および建築基準法に基づく室内環境基準に関する問題です。中央管理方式の空調設備を有する居室において、気流の速さは「0.5 m/s 以下」と定められています。1.5 m/s とする記述は不適当です。なお、一酸化炭素濃度は令和4年の改正により「6 ppm 以下」に強化されており、1の記述は現在の基準として適当です。,
R6-AM-2,R6,午前,2,建築学,環境工学,図に示すような鉄筋コンクリート壁の熱貫流率として、最も近い値はどれか。ただし、熱伝達率は、放射熱伝達率と対流熱伝達率を合わせたものとする。,0.3,1.3,4,33.6,3,【ショーケン版】熱貫流率（U）の計算は、まず「抵抗（R）」を全部足すことから始めろ！室内側の抵抗 0.111 ＋ 壁の抵抗 0.094 ＋ 屋外側の抵抗 0.043 を足すと、合計の熱抵抗は 0.248 になる。最後はその「逆数」にするだけだ。1 ÷ 0.248 ＝ 約 4.03。答えは 4.0 だ！「足してからひっくり返す」、これだけで一点突破だぜ！,【建龍版】熱貫流率に関する計算問題です。熱貫流率 $U$ は、全熱抵抗 $R_T$ の逆数で求められます。全熱抵抗は、室内側熱伝達抵抗、材料の熱伝導抵抗、屋外側熱伝達抵抗の和です。$R_T = 0.111 + 0.094 + 0.043 = 0.248 \text{ (m}^2\cdot\text{K)/W}$。したがって、$U = 1 / R_T = 1 / 0.248 \approx 4.03 \text{ W/(m}^2\cdot\text{K)}$ となり、最も近い値は「3」の 4.0 です。,R6-AM-2.jpg
R6-AM-3,R6,午前,3,建築学,RC構造,鉄筋コンクリート構造に関する一般的な記述として、最も不適当なものはどれか。,柱の主筋は D 13 以上の異形鉄筋を 4 本以上とし、その断面積の和は柱のコンクリート全断面積の0.8% 以上とする。,柱のせん断補強筋は直径 9 mm 以上の丸鋼又は D 10 以上の異形鉄筋とし、せん断補強筋比は0.2% 以上とする。,梁のせん断補強筋の間隔は、梁せいの 1/2 以下、かつ、250 mm 以下とする。,梁に孔径が梁せいの 1/3 の円形の貫通孔を 2 個設ける場合、その中心間隔は両孔径の平均値の 2 倍以上とする。,4,【ショーケン版】梁に穴をあけるなら、穴同士はもっと「離せ」！平均孔径の2倍じゃ近すぎて、コンクリがもたねえんだよ。最低でも穴の直径の「3倍」は離すのが現場のルールだ。穴だらけの梁にして地震で泣きを見るなよ！,【建龍版】RC梁の貫通孔に関する問題です。梁に複数の貫通孔を設ける場合、孔同士の応力干渉を避けるため、その中心間隔は一般に「孔径（平均孔径）の 3 倍以上」確保することが推奨されています。2倍とする記述は構造耐力上不適当です。,
R6-AM-4,R6,午前,4,建築学,地盤・基礎,地盤及び基礎構造に関する記述として、最も不適当なものはどれか。,圧密沈下の限界値は、独立基礎のほうがべた基礎に比べて大きい。,直接基礎の滑動抵抗は、基礎底面の摩擦抵抗が主体となるが、基礎の根入れを深くすることで基礎側面の受動土圧も考慮できる。,直接基礎の地盤の許容応力度は、基礎荷重面の底面積が同じであっても、その底面形状が正方形の場合と長方形の場合とでは異なる値となる。,基礎梁の剛性を高くすることにより、不同沈下が均等化される。,1,【ショーケン版】独立基礎を甘く見んな！独立基礎は1本足だから、ちょっとでも沈んだら建物がすぐ傾いちまう（不同沈下）。だから許容される沈下量は、全体でどっしり支える「べた基礎」よりも「小さく」厳しく設定しなきゃダメなんだ。べた基礎の方が粘れるんだよ！,【建龍版】地盤の許容沈下量に関する問題です。独立基礎は不同沈下を起こしやすく建物への影響が大きいため、許容される沈下量は「小さく（約5cm程度）」設定されます。一方、べた基礎は建物全体が一体となって沈むため、比較的「大きく（約10cm程度）」まで許容されます。したがって「独立基礎のほうが大きい」とする記述は誤りです。,
R6-AM-5,R6,午前,5,建築学,構造力学,図に示す3ヒンジラーメン架構の点Cに集中荷重 P1 及び P2 が作用したとき、支点 B に生じる水平反力 HB の値の大きさとして、正しいものはどれか。,HB = 0 kN,HB = 2 kN,HB = 4 kN,HB = 6 kN,3,【ショーケン版】まずは全体で VB を出せ！A点周りのモーメント ΣMA=0 で考えると、P2はAの真上だから無視。P1(4kN) × 高さ 4m ＝ VB × 8m だから、VB は 2kN になる。次にヒンジCで切って右側（C-D-B）だけで考えろ！C点周りのモーメント ΣMC=0 より、VB(2kN) × 距離 8m ＝ HB × 高さ 4m だ。これを解くと HB は「4kN」になる。計算の順番さえ間違えなきゃ秒殺だぞ！,【建龍版】3ヒンジラーメンの反力計算です。1.全体系のA点周りのモーメントつり合いより、$V_B \cdot 8 - P_1 \cdot 4 = 0 \Rightarrow V_B = 2\text{kN}$。2.ヒンジCより右側部分のC点周りのモーメントつり合いより、$V_B \cdot 8 - H_B \cdot 4 = 0 \Rightarrow 16 = 4H_B \Rightarrow H_B = 4\text{kN}$。したがって正解は「3」です。,R6-AM-5.jpg
R6-AM-6,R6,午前,6,建築学,建築材料,内装材料に関する一般的な記述として、最も不適当なものはどれか。,強化せっこうボードは、せっこうボードの芯に無機質繊維等を混入したもので、性能項目として耐衝撃性や耐火炎性等が規定されている。,パーティクルボードは、木毛等の木質原料及びセメントを用いて圧縮成形した板で、屋根の下地材等に使用される。,コルク床タイルは、天然コルク外皮を主原料として、必要に応じてウレタン樹脂等で加工した床タイルである。,クッションフロアは、表面の透明ビニル層の下に印刷層、発泡ビニル層をもったビニル床シートである。,2,【ショーケン版】パーティクルボードを「セメント」で固めるんじゃねえ！パーティクルボードは木くずを「接着剤」で固めた板だ。セメントで固めるのは「木毛セメント板」だろ。名前と中身がごっちゃになってるぞ。現場で水に濡らしたら一発でダメになるのがパーティクルボードだ、覚えとけ！,【建龍版】木質ボードの分類に関する問題です。パーティクルボード（JIS A 5908）は、木材の小片（パーティクル）に「合成樹脂接着剤」を塗布し、熱圧成形したものです。記述にある「セメントを用いて成形」したものは「木毛セメント板」等の説明であり、不適当です。,
R6-AM-7,R6,午前,7,建築学,環境工学,換気に関する記述として、最も不適当なものはどれか。,機械換気における第 3 種機械換気方式は、自然給気と排気機による換気方式で、浴室や便所等に用いられる。,室内外の温度差による自然換気の換気量は、他の条件が同じであれば、流入入口と流出口の高低差に反比例する。,自然換気における中性帯の位置は、流入入口と流出口の開口面積の大きなほうに近づく。,必要換気量が一斉の場合、室容積が大きな空間に比べて小さな空間のほうが、必要な換気回数が多い。,2,【ショーケン版】自然換気は「煙突効果」をイメージしろ！入口と出口の高さの差（高低差）があればあるほど、勢いよく空気は流れるんだ。つまり、高低差の「平方根に比例」するんだよ。反比例（高さがあるほど流れない）なんて、物理の法則を無視してんぞ！,【建龍版】自然換気（温度差換気）に関する問題です。温度差による換気量 $Q$ は、流入入口と流出口の有効開口面積 $A$、室内外の温度差 $\Delta t$、および高低差 $h$ を用いて、$Q \propto A\sqrt{h\Delta t}$ で表されます。したがって、換気量は高低差 $h$ の「平方根に比例」するため、反比例とする記述は不適当です。,
R6-AM-8,R6,午前,8,建築学,環境工学,音に関する記述として、最も不適当なものはどれか。,"人が知覚する主観的な音の大小をラウドネスといい、音圧レベルが一定の場合、100 Hz の音よりも 1,000 Hz の音のほうが大きく感じる。",残響時間とは、音源が停止してから音圧レベルが 60 dB 減衰するのに要する時間、のことをいう。,1 つの点音源からの距離が 2 倍になると、音圧レベルは 3 dB 低下する。,マスキング効果は、マスキングする音とマスキングされる音の周波数が近いほど大きい。,3,【ショーケン版】音の距離減衰をなめんな！「点音源（スピーカーとか）」から離れるときは、距離が2倍になれば音は「6dB」下がるんだよ。3dB下がるのは「線音源（道路の騒音とか）」の場合だ。現場で騒音苦情が来たとき、距離でどれだけ下がるか計算できないと所長失格だぞ！,【建龍版】音の距離減衰に関する問題です。自由空間における「点音源」の音圧レベルは、距離が 2 倍になると逆二乗の法則に従い $20 \log_{10} 2 \approx 6 \text{ dB}$ 低下します。3 dB 低下とするのは「線音源」の特性（$10 \log_{10} 2 \approx 3 \text{ dB}$）であり、不適当です。,
R6-AM-9,R6,午前,9,建築学,RC構造,鉄筋コンクリート構造の建築物の構造計画に関する記述として、最も不適当なものはどれか。,ねじれ剛性は、耐震壁等の耐震要素を、平面上の中心部に配置するよりも外側に均一に配置したほうが高まる。,耐震壁に換気口等の小開口がある場合でも、その壁を耐震壁として扱うことができる。,腰壁、垂れ壁、そで壁等は、柱及び梁の剛性や靭性への影響を考慮して計画する。,柱は、地震時の脆性破壊の危険を避けるため、軸方向圧縮応力度を大きくするようにする。,4,【ショーケン版】柱をガチガチに「圧縮」してどうすんだ！柱にかかる重み（軸力）がデカすぎると、地震が来たときに粘り（靭性）がなくなって、バキッと「脆性破壊」しちまうんだよ。柱はなるべく余裕を持たせて、軸方向の圧縮応力度は「小さく」抑えるのが、倒れない建物の鉄則だ！,【建龍版】RC造柱の靭性確保に関する問題です。柱に作用する軸方向圧縮力が大きくなると、コンクリートが先に圧縮破壊を起こし、粘りのない「脆性（ぜいせい）破壊」を生じやすくなります。地震時の安全性を高めるには、軸方向圧縮応力度を一定以下に「制限（小さく）」する必要があり、大きくするという記述は不適当です。,
R6-AM-10,R6,午前,10,建築学,鉄骨構造,鉄骨構造の設計に関する記述として、最も不適当なものはどれか。,柱頭が水平移動するラーメン構造の柱の座屈長さは、節点間の距離より長くなる。,梁のたわみは、部材断面と荷重条件が同一の場合、材質を SN 400 A から SN 490 B に変更しても同一である。,柱脚に高い回転拘束力をもたせるためには、根巻き形式ではなく露出形式とする。,トラス構造を構成する軸材は、引張りや圧縮の軸力のみを伝達するものとする。,3,【ショーケン版】ベースプレートをボルトで締めるだけの「露出形式」が一番強いわけねえだろ！「露出」は回ろうとする力に弱いから「ピン」に近いんだよ。ガッチリ固めたきゃ、コンクリの中にぶち込む「埋込み形式」か、足元をコンクリで固める「根巻き形式」にするのが常識だ。現場の納まりを考えりゃ分かるだろ！,【建龍版】柱脚の固定度（回転拘束力）に関する問題です。柱脚の形式において、高い回転拘束力（固定に近い状態）が得られるのは、コンクリート内に深く定着させる「埋込み形式」や、周囲をRCで補強する「根巻き形式」です。「露出形式」はアンカーボルトの伸び等の影響により回転拘束力が最も低くなるため、記述は不適当です。,
