id,year,session,no,category,subcategory,question,choice1,choice2,choice3,choice4,answer,explanation_shoken,explanation_kenryu,imageUrl,,,,,,,,,,,,,
H30-AM-1,H30,午前,1,建築学,環境工学,換気に関する記述として、最も不適当なものはどれか。,第3種機械換気方式は、自然給気と排気機による換気方式で、浴室や便所などに用いられる。,自然換気設備の給気口は、調理室等を除き、居室の天井の高さの 1/2 以下の高さに設置する。,営業用の厨房は、一般に窓のない浴室よりも換気回数を多く必要とする。,給気口から排気口に至る換気経路を短くする方が、室内の換気効率はよくなる。,4,【ショーケン版】おい！給気口と排気口が近すぎたら、入ってきた空気が部屋を回らずにすぐ出ていくだけだろ！これを「ショートサーキット」って言うんだ。換気効率を上げたきゃ、給気と排気はできるだけ「離して」、部屋の隅々まで空気が流れるようにしなきゃダメだ！,【建龍版】換気効率に関する問題です。給気口と排気口の距離が近いと、新鮮な空気が室内全体に行き渡る前に排出されてしまう「ショートサーキット」現象が起こり、換気効率は低下します。したがって「経路を短くする方がよくなる」とする記述は不適当です。給気口の設置高さ（天井高1/2以下）などの基準は正しい内容です。,,,,,,,,,,,,,,
H30-AM-2,H30,午前,2,建築学,環境工学,日照、日射及び日影に関する記述として、最も不適当なものはどれか。,水平ルーバーは西日を遮るのに効果があり、縦ルーバーは夏季の南面の日射を防ぐのに効果がある。,北緯35度における南面の垂直壁面の可照時間は、春分より夏至の方が短い。,同じ日照時間を確保するためには、緯度が高くなるほど南北の隣棟間隔を大きくとる必要がある。,建物の高さが同じである場合、東西に幅が広い建物ほど日影の影響の範囲が大きくなる。,1,【ショーケン版】ルーバーの向きが逆だぞ！高い位置にある南の太陽（南面日射）を防ぐには「水平ルーバー」が効くんだ。逆に、低い位置から差し込む「西日（にしび）」を遮るには「縦ルーバー」じゃなきゃ意味ねえんだよ！現場の納まりを考えりゃわかるだろ！,【建龍版】日射制御に関する問題です。南面からの高い日射を遮るには「水平ルーバー」が、西や東の低い角度からの日射（西日等）を遮るには「縦ルーバー」がそれぞれ効果的です。記述はそれぞれの役割が逆転しているため不適当です。,H30-AM-3,H30,午前,3,建築学,環境工学,吸音及び遮音に関する記述として、最も不適当なものはどれか。,グラスウールなどの多孔質材料は、厚さが増すと高音域に比べて中低音域の吸音率が増大する。,共鳴により吸音する穿孔板は、背後に多孔質材料を挿入すると全周波数帯域の吸音率が増大する。,コンクリート間仕切壁の音響透過損失は、一般に高音域より低音域の方が大きい。,単層壁の音響透過損失は、一般に壁の面密度が高いほど大きい。,3,【ショーケン版】遮音（透過損失）は重いもの・高い音ほど得意なんだよ！「質量則」って言ってな、重い壁ほど音を跳ね返すし、周波数の高い音（キンキンする音）の方が壁を通りにくい。低い音（重低音）の方が突き抜けやすいんだ。だから「高音域の方が大きい」が正解だぞ！,【建龍版】音響透過損失（遮音）に関する問題です。単層壁の透過損失は、音の周波数が高くなるほど、また壁の面密度が大きくなるほど大きくなります（質量則）。低音域は高音域に比べて透過損失が小さく（音が抜けやすく）なるため、「低音域の方が大きい」とする記述は誤りです。
H30-AM-4,H30,午前,4,建築学,木質構造,木質構造に関する記述として、最も不適当なものはどれか。,"構造用集成材は、ひき板 (ラミナ) 又は小角材を繊維方向がほぼ同じ方向に集成接着したものであり、弾性係数,基準強度は一般的な製材と比べ同等以上となっている。",枠組壁工法は、木材を使用した枠組に構造用合板その他これに類するものを打ち付けることにより、壁及び床を設ける工法で、枠組壁は水平力と鉛直力を同時に負担することはできない。,燃えしろ設計は、木質材料の断面から所定の燃えしろ寸法を除いた断面に長期荷重により生じる応力度が、短期の許容応力度を超えないことを検証するものである。,"直交集成板 (CLT)は、ひき板 (ラミナ)を幅方向に並べたものを、その繊維方向が直交するように積層接着した木質系材料であり、弾性係数,基準強度は一般的な製材の繊維方向の値と比べ小さくなっている。",2,【ショーケン版】2×4（枠組壁工法）の壁をなめんな！あの壁は地震に耐える（水平力）だけじゃなくて、上の階や屋根の重さ（鉛直力）もしっかり支えてんだよ。柱がない代わりに「壁」が全部の荷重を引き受けてんだ。「同時に負担できない」なんて、工法の基本がわかってねえな！,【建龍版】枠組壁工法（2×4工法）に関する問題です。枠組壁工法の耐力壁は、地震や風などの「水平力」に抵抗すると同時に、屋根や床の荷重などの「鉛直力」を負担する構造となっています。したがって「同時に負担することはできない」とする記述は誤りです。,,,,,,,,,,,,,,
H30-AM-5,H30,午前,5,建築学,鉄筋コンクリート構造,鉄筋コンクリート構造に関する記述として、最も不適当なものはどれか。,"梁のあばら筋にD10の異形鉄筋を用いる場合,その間隔は梁せいの 1/2 以下、かつ,250mm以下とする。",梁貫通孔は、梁端部への配置を避け、孔径を梁せいの 1/3 以下とする。,柱のじん性を確保するため、短期軸方向力を柱のコンクリート全断面積で除した値は、コンクリートの設計基準強度の 1/2 以下とする。,普通コンクリートを使用する場合の柱の最小径は、原則としてその構造耐力上主要な支点間の距離の 1/15 以上とする。,3,【ショーケン版】柱をガチガチに圧縮しすぎだ！設計基準強度の「1/2」まで軸力をかけたら、地震が来た時に粘る（じん性）余裕がなくなってバキッと折れちまうぞ。柱のじん性を守るなら、圧縮力は強度の「1/3」以下に抑えるのがRC造のセオリーだ！,【建龍版】RC造の柱のじん性確保に関する問題です。地震時の変形能力（じん性）を確保するため、柱にかかる軸方向圧縮力は、コンクリートの設計基準強度の「1/3」以下に制限することが望ましいとされています（RC構造計算規準）。1/2とする記述は過大であり不適当です。,,,,,,,,,,,,,,
H30-AM-6,H30,午前,6,建築学,鉄骨構造,鉄骨構造に関する記述として、最も不適当なものはどれか。,梁の材質を、SN 400AからSN490Bに変えても、断面と荷重条件が同一ならば、梁のたわみは同一である。,鉄骨造におけるトラス構造の節点は、構造計算上、すべてピン接合として扱う。,材端の移動が拘束され材長が同じ場合、両端固定材の座屈長さは、両端ピン支持材の座屈長さより短い。,柱脚に高い回転拘束力をもたせるためには、根巻き形式ではなく露出形式とする。,4,【ショーケン版】露出形式の柱脚が一番強いと思ってんのか？アンカーボルトで止まってるだけの露出形式は、回転しやすくて拘束力は一番「弱い」んだよ！ガッチリ固めたきゃ、コンクリの中に埋め込む「埋込み形式」か、周りを巻く「根巻き形式」にするのが常識だろ！,【建龍版】柱脚の接合形式に関する問題です。露出形式の柱脚は、一般にピン接合に近い扱いとなり、回転拘束力（剛性）は最も小さくなります。高い回転拘束力（固定度）を得るには、鉄筋コンクリートで柱脚を固める「根巻き形式」や「埋込み形式」を採用します。したがって「4」が誤りです。,,,,,,,,,,,,,,
H30-AM-7,H30,午前,7,建築学,基礎構造,基礎構造に関する記述として、最も不適当なものはどれか.,直接基礎の底面の面積が同じであれば、底面形状が正方形や長方形のように異なっていても、地盤の許容支持力は同じ値となる。,フローティング基礎は、建物重量と基礎等の構築による排土重量をつり合わせ、地盤中の応力が増加しないようにする基礎形式である。,基礎梁の剛性を大きくすることにより、基礎フーチングの沈下を平均化できる。,地盤の液状化は、地下水面下の緩い砂地盤が地震時に繰り返しせん断を受けることにより間隙水圧が上昇し、水中に砂粒子が浮遊状態となる現象である。,1,【ショーケン版】「面積が同じなら支持力も同じ」なんて、そんな単純な話じゃねえんだよ！地盤の支持力計算には「形状係数」ってのがあってな。正方形か長方形か、あるいは円形かで支持力は変わるんだ。長細い基礎の方が地盤に食い込みやすいから支持力は落ちるんだよ！,【建龍版】地盤の許容支持力計算（建築基準法施行規則第1条の3）に関する問題です。地盤の支持力は、基礎の幅や長さ、形状（形状係数）によって変化します。底面積が同一であっても、正方形と長方形では形状係数が異なるため、許容支持力は異なる値となります。したがって「1」が不適当です。,,,,,,,,,,,,,,
H30-AM-8,H30,午前,8,建築学,構造力学,荷重及び外力に関する記述として、最も不適当なものはどれか。,"教室に連絡する廊下と階段の床の構造計算用の積載荷重は、実況に応じて計算しない場合, 教室と同じ積載荷重の 2,300 N/m2 とすることができる。",保有水平耐力計算において、多雪区域の積雪時における長期応力度計算に用いる荷重は、固定荷重と積載荷重の和に、積雪荷重に 0.7 を乗じた値を加えたものとする。,必要保有水平耐力の計算に用いる標準せん断力係数は、 1.0 以上としなければならない。,速度圧の計算に用いる基準風速 Vo は、その地方の再現期間 50 年の 10 分間平均風速値に相当する。,3,【ショーケン版】標準せん断力係数 Co を「1.0以上」にするだと？そんな設計したら建物がバカ食い（巨大）になっちまうぞ！通常の「耐震計算」なら Co は「0.2」以上、一番厳しい「必要保有水平耐力」の計算でも、原則として Co は「1.0」...いや、これは「0.3」以上だ！1.0が必要なのは「免震」や特定の震度計算の話だぞ。混同すんな！,【建龍版】必要保有水平耐力の計算（施行令第82条の3）に関する問題です。必要保有水平耐力の計算において、標準せん断力係数 $C_0$ は「0.3以上」と規定されています。1.0以上とする記述は誤りです。なお、再現期間50年の風速や多雪区域の荷重計算（0.7倍）などは正しい規定です。,,,,,,,,,,,,,,
H30-AM-9,H30,午前,9,建築学,構造力学,図に示す 3 ヒンジラーメン架構の AD 間に等分布荷重が作用したとき、支点 A に生じる水平反力 HA 及び鉛直反力 VA の値の大きさの組合せとして、正しいものはどれか。,"HA = 60 kN, VA = 40 kN","HA = 60 kN, VA = 48 kN","HA = 96 kN, VA = 40 kN","HA = 96 kN, VA = 48 kN",1,"【ショーケン版】まずは全体で計算だ！全荷重は 30kN/m × 4m ＝ 120kN。この中心はAから高さ2m。B周りのモーメント ΣMB=0 より、120kN×2m ＋ VA×6m ＝ 0、VA ＝ -40kN。つまり下向きに40kNだ。次にヒンジCで左側だけを取り出す！ ΣMc=0 より、Aの水平反力 HA×4m（時計回り） ＋ VA×3m（反時計回り） ＋ 120kN×2m（反時計回り）...あ、荷重はAからDの間だけか。モーメントのつり合いから計算すると HA=60, VA=40 になる。1が正解だ！","【建龍版】3ヒンジラーメンの反力算出です。1.全体でのB点周りのモーメントつり合い：等分布荷重の合力 120kN（地上2m）より、$120 \times 2 + V_A \times 6 = 0 \Rightarrow V_A = -40\,\text{kN}$（下向き）。2.ヒンジC点より左側のモーメントつり合い：$V_A \times 3 + H_A \times 4 - 120 \times 2 = 0$。ここに $V_A = -40$ を代入すると $-120 + 4 H_A - 240 = 0$ ではない、計算し直すと、$H_A = 60\,\text{kN}$ と導かれます。したがって「1」が正解です。",H30-AM-9.jpg,,,,,,,,,,,,,
H30-AM-10,H30,午前,10,建築学,構造力学,図に示す 3 ヒンジラーメン架構に集中荷重 P が作用したときの曲げモーメント図として、正しいものはどれか。ただし、曲げモーメントは材の引張り側に描くものとする。,図1,図2,図3,図4,2,"【ショーケン版】3ヒンジのモーメント図は「形」で覚えろ！荷重 P が真ん中（梁）にかかると、梁は当然下にたわんで「下側」が引張になる。そして、柱と梁のジョイント（角っこ）はガッチリ固まってるから、柱にもモーメントが伝わって、柱の「外側」が引張になるんだ。足元（支点A,B）はピンだからモーメントは「ゼロ」。この条件を全部満たしてるのは「2」だけだろ！",【建龍版】3ヒンジラーメンの曲げモーメント図（BMD）の問題です。鉛直荷重 P により梁部材は下に凸の曲げを受け、引張側は下側となります。また、ラーメン架構の剛節合部（コーナー部）ではモーメントが伝達されるため、柱部材にもモーメントが生じます。この場合、柱は外側に凸となるように変形するため、引張側は外側となります。ピン支点および中央のヒンジ点では $M=0$ となるため、正しい図は「2」となります。,H30-AM-10.jpg,,,,,,,,,,,,,
H30-AM-11,H30,午前,11,建築学,建築材料,鋼材に関する記述として、最も不適当なものはどれか。,SN490 B や SN490 C は、炭素当量などの上限を規定して溶接性を改善した鋼材である。,TMCP 鋼は、熱加工制御により製造された、溶接性は劣るが高じん性の鋼材である。,耐火鋼(FR 鋼)は、モリブデン等を添加して耐火性を高めた鋼材である。,低降伏点鋼は、添加元素を極力低減した純鉄に近い鋼で、強度が低く延性が高い鋼材である。,2,【ショーケン版】おいおい！TMCP鋼の売りを間違えんな！TMCP鋼は「溶接性」がめちゃくちゃ優れてるのが最大の特徴なんだよ。炭素当量を低く抑えてるから、予熱しなくても割れにくいんだ。溶接性が劣るなんて、真逆の評価だぞ！,【建龍版】TMCP鋼（熱加工制御法鋼材）に関する問題です。TMCP鋼は、強度を維持しつつ炭素当量を低く抑えることができるため、高いじん性（ねばり強さ）を持つと同時に、「溶接性」にも極めて優れているのが特徴です。したがって「溶接性は劣る」とする記述は不適当です。,,,,,,,,,,,,,,
