id,year,session,no,category,subcategory,question,choice1,choice2,choice3,choice4,answer,explanation_shoken,explanation_kenryu,imageUrl
H26-AM-1,H26,午前,1,建築学,環境工学,換気に関する記述として、最も不適当なものはどれか。,汚染物質が局所的に発生する場所では、汚染物質が拡散する前に捕集し排気する方法が有効である。,必要換気量は、換気をする室の1時間に必要とする外気量で表すことができる。,室内の換気を効率よく行うためには、給気口から排気口に至る換気経路を短くする方がよい。,熱交換器は、冷暖房時に換気による熱損失を軽減するために用いられる。,3,【ショーケン版】おい！給気口と排気口を近づけてどうすんだ！入り口から入った空気がそのまま出口に吸い込まれたら、部屋の奥が淀んだままだろ！換気経路は「長く」取って、部屋全体の空気を入れ替えるのが現場の常識だ！,【建龍版】換気計画における空気の流れ（ショートサーキットの防止）に関する問題です。室内の空気を効率よく入れ替えるためには、給気口から排気口までの距離を十分に確保し、換気経路を「長く」設定する必要があります。したがって「短くする方がよい」とする記述は不適当です。,
H26-AM-2,H26,午前,2,建築学,環境工学,採光及び照明に関する記述として、最も不適当なものはどれか。,光束とは、単位時間当たり、発散、透過又は入射する光のエネルギー量をいう。,演色性とは、照明光による物体色の見え方についての光源の性質をいう。,光度とは、反射面を有する受照面の光の面積密度をいう。,昼光率とは、全天空照度に対する室内のある点の天空光による照度の比をいう。,3,【ショーケン版】用語の定義をいい加減に覚えるなよ！「光度（カンデラ）」ってのは光の強さのことだ。反射面の明るさは「輝度」、照らされた面の密度は「照度」だろ。言葉の意味を取り違えたら、照明計画なんてメチャクチャになるぞ！,【建龍版】照明工学における単位と用語に関する問題です。光度とは、光源からある方向へ放射される光の強さを指します。記述にある「受照面の光の面積密度」は「照度」の定義であり、不適当です。演色性や昼光率の定義は適切です。,
H26-AM-3,H26,午前,3,建築学,環境工学,音に関する記述として、最も不適当なものはどれか。,単層壁の透過損失は、一般に壁の面密度が大きいほど大きくなる。,グラスウールなど多孔質の吸音材は、一般に高音域に比べて低音域の吸音率が大きい。,残響時間は、室の容積が大きいほど長くなり、室内の平均吸音率が大きいほど短くなる。,コインシデンス効果とは、入射音波と板材の共振により、遮音性能が低下する現象をいう。,2,【ショーケン版】グラスウールみたいなフカフカした吸音材は、高音（キンキンした音）を吸うのは得意だが、低音（ズンズン響く音）は素通りしちまうんだ。低音を吸いたいなら重てえ板を振るわせる「板状振動」を使うのがセオリーだぞ！,【建龍版】吸音材料の特性に関する問題です。グラスウールやロックウールなどの多孔質吸音材は、材料内部の摩擦により音エネルギーを熱に変えるため、特に「高音域」の吸音に優れています。低音域の吸音率の方が大きいとする記述は不適当です。残響時間の計算式（Sabineの式）なども併せて理解しておきましょう。,
H26-AM-4,H26,午前,4,建築学,構造計画,鉄筋コンクリート造の構造計画に関する記述として、最も不適当なものはどれか。,柱の変形能力を高めるため、曲げ降伏強度がせん断強度を上回るように計画する。,垂れ壁や腰壁により短柱となる柱は、水平力が集中するので、壁と柱の間を構造的に縁を切るなど考慮する。,壁に小さな開口がある場合でも、その壁を耐震壁として扱うことができる。,平面形状が極めて長い建物には、コンクリートの乾燥収縮や不同沈下等による問題が生じやすいので、エキスパンションジョイントを設ける。,1,【ショーケン版】おい！計算の優先順位が逆だ！地震が来た時に柱がポキっと「せん断破壊」したら終わりだろ。まずは柱が粘り強くしなる（曲げ降伏する）ようにして、その力に耐えられるだけの「せん断強度」を確保しなきゃダメなんだ！「せん断強度 ＞ 曲げ強度」が鉄則だ！,【建龍版】RC構造の靭性（粘り強さ）の確保に関する問題です。脆性的な破壊であるせん断破壊を防止し、粘り強い曲げ降伏を先行させるため、構造設計では「せん断強度 ＞ 曲げ降伏強度」となるように計画します。したがって、記述は逆であり不適当です。,
H26-AM-5,H26,午前,5,建築学,鉄筋コンクリート構造,鉄筋コンクリート構造に関する記述として、最も不適当なものはどれか。,壁板のせん断補強筋比は、直交する各方向に関して、それぞれ0.0025 以上とする。,普通コンクリートを使用する場合の柱の小径は、原則としてその構造耐力上主要な支点間の距離の 1/15 以上とする。,床スラブの配筋は、各方向の全幅について、鉄筋全断面積のコンクリート全断面積に対する割合を 0.1 % 以上とする。,柱梁接合部内の帯筋間隔は、原則として 150 mm 以下とし、かつ、隣接する柱の帯筋間隔の 1.5 倍以下とする。,2,【ショーケン版】柱が細すぎんだろ！RC造の柱の太さ（小径）は、高さ（支点間距離）の「1/10以上」にするのが基本だぞ。1/15なんて細っせえ柱じゃ、いざって時に建物を支えきれねえ。現場の柱の寸法、しっかり図面で確認しろよ！,【建龍版】RC柱の構造制限に関する問題です。建築基準法施行令により、柱の小径は、原則として構造耐力上主要な支点間の距離の「1/10以上」としなければなりません。1/15とする記述は不適当です。他のせん断補強筋比（0.0025以上）やスラブの配筋比（0.1%以上）は正しい数値です。,
H26-AM-6,H26,午前,6,建築学,鉄骨構造,鉄骨構造に関する記述として、最も不適当なものはどれか。,H 形鋼は、フランジ及びウェブの幅厚比が大きくなると局部座屈を生じやすい。,角形鋼管柱とH 形鋼梁の剛接合の仕口部には、ダイアフラムを設けて力が円滑に流れるようにする。,中間スチフナは、梁の材軸と直角方向に配置し、主としてウェブプレートのせん断座屈補強として用いる。,部材の引張力によってボルト孔周辺に生じる応力集中の度合は、高力ボルト摩擦接合の場合より普通ボルト接合の方が少ない。,4,【ショーケン版】普通ボルトと高力ボルトの力の伝え方を考えりゃわかるだろ！普通ボルトは孔の壁に直接力がかかるから応力が集中しやすいんだ。高力ボルトは「摩擦」で面全体に力を逃がすから、孔の周りの負担は少ねえんだよ！常識を疑え！,【建龍版】ボルト接合における応力分布に関する問題です。普通ボルト接合（支圧接合）ではボルト孔周辺に応力が集中しますが、高力ボルト摩擦接合は部材間の摩擦力によって応力を伝達するため、ボルト孔周辺への応力集中は普通ボルト接合よりも「少なく」なります。したがって、記述は逆であり不適当です。,
H26-AM-7,H26,午前,7,建築学,基礎構造,杭基礎に関する記述として、最も不適当なものはどれか。,支持杭を用いた杭基礎の許容支持力には、基礎スラブ底面における地盤の支持力を加算する。,埋込み杭は、打込み杭に比べて極限支持力に達するまでの沈下量が大きい。,地盤から求める杭の引抜き抵抗力に杭の自重を加える場合は、地下水位以下の部分の浮力を考慮する。,地震時に杭が曲げ破壊する場合には、破壊は一般に杭上部に発生しやすい。,1,【ショーケン版】支持杭ってのは、杭の先端でカッチリ持たせるもんだろ！基礎の底面と地盤がくっついてる分をアテにするなんて甘い考えは捨てろ。原則として、スラブ底面の支持力は「加算しない」のが設計の基本だ！,【建龍版】杭基礎の設計における支持力計算の原則に関する問題です。杭基礎（特に支持杭）の許容支持力の算出において、基礎スラブ底面での地盤支持力（直接基礎のような支持力）は原則として加算しません。したがって「1」が不適当です。沈下特性や、引抜き時の浮力考慮などは正しい記述です。,
H25-AM-8,H26,午前,8,建築学,構造力学,建築物に作用する荷重及び外力に関する記述として、最も不適当なものはどれか。,積雪荷重は、積雪の単位荷重に屋根の水平投影面積及びその地方における垂直積雪量を乗じて計算する。,風圧力を求めるために用いる風力係数は、建築物の外圧係数と内圧係数の積により算出する。,地震層せん断力は、2 階に生じる地震層せん断力より 1 階に生じる地震層せん断力の方が大きい。,劇場、映画館等の客席の積載荷重は、固定席の方が固定されていない場合より小さい。,2,【ショーケン版】おい！風力係数を「かけ算（積）」で出すなんて、計算がデカくなりすぎるだろ！風は外から押す力と、内から引っ張る力の「差（引き算）」で考えるんだよ。公式の基本中の基本、しっかり覚えとけ！,【建龍版】建築物の風圧力の算出に関する問題です。風力係数（Cf）は、建築物の外圧係数（Cpe）から内圧係数（Cpi）を引いた「差（Cf = Cpe - Cpi）」によって算出します。積（かけ算）とする記述は誤りです。1階の地震力の方が大きい点や、積載荷重の固定席の扱いは正しい記述です。,
H26-AM-9,H26,午前,9,建築学,構造力学,図のような荷重を受ける3ヒンジラーメンの支点A及びBに生じる垂直反力をそれぞれ V_A 及び V_B としたときの反力の組合せとして、正しいものはどれか。,V_A：2 kN（下向き）、V_B：6 kN（上向き）,V_A：1 kN（下向き）、V_B：5 kN（上向き）,V_A：5 kN（上向き）、V_B：1 kN（下向き）,V_A：6 kN（上向き）、V_B：2 kN（下向き）,2,【ショーケン版】おい！反力の計算は「シーソー」をイメージしろ！A点を中心にして回転を計算すんだ。左からの押し込みと上からの荷重を、B点がどれだけ踏ん張ってるか（ΣM_A=0）。計算すっとBは5kNの上向き。全体で下向きに4kNかかってんだから、バランス取るためにAは「1kNの下向き」に引っ張られてなきゃおかしいだろ！,【建龍版】3ヒンジラーメンの反力計算です。1. A点周りのモーメントのつり合い：8kN×4m ＋ 4kN×2m － V_B×8m ＝ 0 より、V_B ＝ 5kN（上向き）。2. 鉛直方向のつり合い：V_A ＋ V_B － 4kN ＝ 0 より、V_A ＋ 5kN － 4kN ＝ 0 ⇒ V_A ＝ －1kN（下向き）。したがって、正解は「2」となります。計算ミスしやすい「向き」に注意しましょう。,H26-AM-9.jpg
H26-AM-10,H26,午前,10,建築学,構造力学,単純梁に荷重が作用したときの梁のせん断力図が下図となるとき、その曲げモーメント図として、正しいものはどれか。ただし、曲げモーメントは材の引張り側に描くものとする。,1,2,3,4,2,【ショーケン版】せん断力図（SFD）と曲げモーメント図（BMD）の関係、忘れんなよ！せん断力が「プラス」ならBMDは右上がり、せん断力が「0」ならBMDは横ばいだ。この図を見ると、真ん中の区間はせん断力がねえ（0）だろ？ってことは、そこはモーメントが変わらない「水平」になってなきゃダメなんだよ！,【建龍版】SFDとBMDの相関関係に関する基本問題です。せん断力 Q と曲げモーメント M には、dM/dx = Q の関係があります。1. 左側1/3：Q > 0 なので M は正の傾きで増加。2. 中央1/3：Q = 0 なので M は一定（水平）。3. 右側1/3：Q < 0 なので M は負の傾きで減少。この台形のような形を示すのは「2」となります。,H26-AM-10.jpg
